Customer ID,Name,Address,Phone Number,Order Frequency,Latitude,Longitude,Total Spend
63,Pat Williams,"8180 Pine St, Chicago, TX 19568",685-474-4478,47,38.268806,-91.314466,3342.02
64,Pat Brown,"9250 Pine St, Chicago, TX 79916",(931) 740-6482,46,38.057183,-107.449535,1386.05
65,Chris Jones,"6605 Elm St, Phoenix, CA 78852",146-757-2933,39,38.750125,-96.327705,3134.34
66,Alex Martinez,"7176 Oak St, Los Angeles, TX 79322",(864) 386-6480,28,36.082859,-93.038384,1966.84
67,Jordan Martinez,"825 Oak St, Los Angeles, NY 57388",277-440-6430,47,39.419776,-88.628177,3219.18
68,Chris Smith,"4883 Elm St, Phoenix, CA 31037",665.907.3456,3,40.982586,-79.379691,4098.82
69,John Garcia,"3449 Pine St, New York, CA 65533",964.968.6365,35,35.003347,-113.136442,1056.13
70,Sam Garcia,"7088 Pine St, Phoenix, IL 59459",448-699-3530,43,37.227557,-100.308843,140.26
71,John Johnson,"8721 Elm St, New York, AZ 76840",360-788-5441,48,35.614078,-80.213434,3974.08
72,Taylor Martinez,"8812 Cedar Ave, Phoenix, AZ 38132",(502) 764-4287,31,38.96139,-91.649314,1205.03
73,Taylor Rodriguez,"102 Pine St, Houston, AZ 11845",(608) 848-7470,45,38.89466,-73.108111,4876.92
74,Jordan Davis,"1573 Cedar Ave, New York, IL 14998",(334) 661-7107,22,35.227656,-93.119966,1166.98
75,Sam Johnson,"2805 Oak St, New York, NY 70413",914.365.2833,7,35.167624,-78.487715,3817.07
76,Alex Johnson,"6048 Cedar Ave, Chicago, AZ 12418",617.257.1642,29,35.577563,-98.508184,2604.99
77,Pat Davis,"8095 Cedar Ave, Chicago, NY 31699",760.303.3122,15,37.834193,-82.670342,2851.06
78,Jordan Williams,"8028 Oak St, New York, IL 18833",(242) 186-8241,34,36.047861,-94.840019,4449.51
79,Casey Smith,"172 Main St, Phoenix, TX 11351",(948) 916-4975,25,37.458778,-93.364157,3698.1
80,Jordan Rodriguez,"7988 Pine St, Los Angeles, AZ 76622",(330) 575-9622,34,34.12934,-88.020967,423.62
81,Taylor Martinez,"6451 Elm St, New York, IL 37494",(134) 775-6902,15,41.850141,-90.040348,2142.28
82,Chris Williams,"8657 Oak St, Chicago, IL 14857",690.886.9393,20,38.344937,-73.371196,989.94
83,Alex Rodriguez,"5369 Cedar Ave, New York, IL 46425",957.575.1396,17,41.064938,-117.992039,4147.42
84,Jordan Smith,"2450 Oak St, Chicago, IL 82790",684.973.8078,33,39.919716,-113.284391,4970.79
85,Jordan Smith,"6559 Elm St, Los Angeles, NY 74681",(646) 574-2596,8,38.129708,-94.709464,974.83
86,Jordan Smith,"454 Elm St, Phoenix, AZ 49607",122.227.9403,44,37.598382,-78.397763,3137.75
87,Casey Miller,"9979 Elm St, Los Angeles, AZ 19964",(177) 423-8543,49,35.647851,-114.587986,3933.49
88,Jane Martinez,"4856 Elm St, Phoenix, IL 80411",(417) 208-7665,5,40.164133,-97.831609,4347.1
89,Alex Martinez,"989 Main St, Los Angeles, TX 29996",(535) 637-1047,2,38.889845,-75.691987,435.12
90,Taylor Davis,"1158 Pine St, Houston, CA 99733",570.375.8718,40,39.929996,-83.520196,186.9
91,Pat Miller,"6892 Pine St, New York, TX 19392",442.165.7739,25,40.466306,-98.270303,1537.67
92,Chris Rodriguez,"3693 Main St, Los Angeles, TX 96140",(267) 335-1466,28,38.476772,-102.251295,3324.6
93,Jane Johnson,"1687 Cedar Ave, Phoenix, TX 56290",287.969.8912,8,39.461724,-88.202033,2652.5
94,Morgan Williams,"9361 Main St, Phoenix, AZ 65185",695-335-1140,10,38.727436,-98.296562,3928.33
95,Jordan Williams,"8405 Oak St, Houston, TX 13876",847-319-8440,17,37.067879,-117.217268,827.26
96,Casey Williams,"8187 Elm St, Los Angeles, CA 29200",(162) 946-4067,30,37.807023,-109.103567,4087.29
97,Casey Smith,"7401 Main St, New York, AZ 36868",470-687-4883,35,39.357647,-76.932861,2979.39
98,Pat Martinez,"8991 Oak St, Phoenix, NY 11227",134.253.5417,35,41.96465,-98.92125,3910.94
99,Casey Garcia,"5599 Elm St, Houston, NY 68457",(207) 132-1124,42,37.950537,-80.188712,4759.96
100,Pat Miller,"906 Oak St, Los Angeles, IL 79988",477.373.9581,48,41.342386,-87.233638,524.98
